organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Defence Procurement Agency,defence-procurement-agency,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Defence Safety Authority,defence-safety-authority,Sub organisation,live,ministry-of-defence,70,59,15,0,1,0,0,1,0,3,0,0,0,0,37,1,0,1
Defence Science and Technology Laboratory,defence-science-and-technology-laboratory,Executive agency,live,ministry-of-defence,1126,200,34,0,25,17,2,1,0,0,76,11,2,0,31,1,0,0
Defence Scientific Advisory Council,defence-scientific-advisory-council,Advisory non-departmental public body,closed,ministry-of-defence,8,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Defence Sixth Form College,defence-sixth-form-college,Sub organisation,exempt,ministry-of-defence,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defence Storage and Distribution Agency,defence-storage-and-distribution-agency,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Defence Support Group,defence-support-group,Executive agency,closed,ministry-of-defence,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Defence Transport and Movements Agency,defence-transport-and-movements-agency,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Defence Vetting Agency,defence-vetting-agency,Executive agency,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Defence, Press and Broadcasting Advisory Committee",defence-press-and-broadcasting-advisory-committee,Other,closed,ministry-of-defence,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defra's Science Advisory Council,science-advisory-council,Advisory non-departmental public body,live,department-for-environment-food-rural-affairs,27,19,1,0,0,0,0,1,0,0,0,6,1,0,9,0,0,1
Dental Practice Board,dental-practice-board,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
