organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Department of Health and Social Care,department-of-health-and-social-care,Ministerial department,live,,10641,3753,1205,69,85,34,1,1062,5,1,9,210,400,101,182,280,54,55
"Department of Health, Social Services and Public Safety",department-of-health-social-services-and-public-safety,Ministerial department,closed,,159,6,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0
Department of Inland Revenue,department-of-inland-revenue,Ministerial department,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Department of Justice (Northern Ireland),department-of-justice-northern-ireland,Other,exempt,northern-ireland-executive,725,24,0,1,0,0,0,2,0,0,0,0,20,0,0,1,0,0
Department of National Heritage,department-of-national-heritage,Other,closed,,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Department of Social Security,department-of-social-security,Ministerial department,closed,,11,9,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0
Department of the Environment (Northern Ireland),department-of-the-environment,Ministerial department,closed,,129,82,1,68,1,0,0,2,0,0,0,0,1,0,8,1,0,0
"Department of the Environment, Transport and the Regions",department-of-the-environment-transport-and-the-regions,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Department of Trade and Industry,department-of-trade-and-industry,Ministerial department,closed,,63,58,0,0,0,0,0,10,0,0,0,0,2,0,46,0,0,0
Deputy Prime Minister's Office,deputy-prime-ministers-office,Executive office,closed,cabinet-office,811,92,2,0,0,0,0,85,0,0,0,1,0,0,1,2,1,0
Derby North East Education Action Zone,derby-north-east-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Design Council,design-council,Other,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
DfT OLR Holdings Limited,dft-olr-holdings-limited,Public corporation,closed,department-for-transport,29,17,4,0,0,0,0,2,0,0,1,0,1,0,9,0,0,0
DfT Operator Limited,dft-operator-limited,Public corporation,live,department-for-transport,41,8,2,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0
"Digital, Data and Technology Profession",digital-data-and-technology-profession,Sub organisation,closed,civil-service,15,11,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dingle Granby Toxteth Education Action Zone,dingle-granby-toxteth-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Directly Operated Railways Limited,directly-operated-railways-limited,Executive non-departmental public body,closed,department-for-transport,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disability and Carers Service,disability-and-carers-service,Executive agency,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Disability Rights Commission,disability-rights-commission,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Disability Unit,disability-unit,Sub organisation,live,cabinet-office,99,53,8,0,0,0,0,23,0,0,0,15,1,0,3,2,0,1
Disabled People’s Employment Corporation (GB) Ltd,disabled-peoples-employment-corporation,Executive non-departmental public body,closed,department-for-work-pensions,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Disabled Persons Transport Advisory Committee,disabled-persons-transport-advisory-committee,Other,live,department-for-transport,54,28,12,0,0,0,0,0,0,0,0,1,5,0,8,2,0,0
Disclosure and Barring Service,disclosure-and-barring-service,Executive non-departmental public body,live,home-office,287,133,52,0,24,0,0,13,0,0,1,0,1,3,39,0,0,0
Disposal Services Agency,disposal-services-agency,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
District Valuer Services,district-valuer-services-dvs,Sub organisation,live,hm-revenue-customs,18,12,5,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0
Dounreay ,dounreay,Other,closed,nuclear-decommissioning-authority,369,34,1,0,2,0,0,1,0,0,0,0,0,1,25,4,0,0
Downham and Bellingham Education Action Zone,downham-and-bellingham-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Driver and Vehicle Licensing Agency,driver-and-vehicle-licensing-agency,Executive agency,live,department-for-transport,1189,199,40,2,35,0,0,11,0,0,0,21,0,5,66,18,0,1
Driver and Vehicle Standards Agency,driver-and-vehicle-standards-agency,Executive agency,live,department-for-transport,1303,652,239,5,112,138,13,6,0,0,0,45,1,25,40,24,1,3
Driver and Vehicle Testing Agency,driver-and-vehicle-testing-agency,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Driving Standards Agency,driving-standards-agency,Executive agency,closed,department-for-transport,707,43,0,0,0,0,0,0,0,0,0,11,0,6,18,8,0,0
Dudley Education Action Zone,dudley-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Easington and Seaham Education Action Zone,easington-and-seaham-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
East Cleveland Education Action Zone,east-cleveland-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
East Manchester Education Action Zone,east-manchester-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
East Midlands Development Agency (emda),east-midlands-development-agency-emda,Executive agency,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
East of England Development Agency,east-of-england-development-agency,Executive agency,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
East West Railway Company Limited,east-west-railway-company,Executive non-departmental public body,exempt,department-for-transport,19,7,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,1
Eastern Health and Social Services Board,eastern-health-and-social-services-board,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ebbsfleet Development Corporation,ebbsfleet-development-corporation,Executive non-departmental public body,exempt,ministry-of-housing-communities-local-government,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Economic and Social Research Council,economic-and-social-research-council,Sub organisation,exempt,uk-research-and-innovation,36,22,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0
Education and Skills Funding Agency,education-and-skills-funding-agency,Executive agency,closed,department-for-education,668,116,65,0,21,0,0,2,4,0,1,6,0,1,13,3,0,0
Education Funding Agency,education-funding-agency,Executive agency,closed,department-for-education,191,17,1,0,1,0,0,0,0,0,1,1,0,0,9,3,1,0
Efficiency and Reform Group,efficiency-and-reform-group,Sub organisation,closed,cabinet-office,202,88,46,0,2,0,0,25,0,0,0,0,3,0,11,0,1,0
Electricity Settlements Company,electricity-settlements-company,Other,exempt,department-for-energy-security-and-net-zero,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eliasch Review,eliasch-review,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ellesmere Port Education Action Zone,ellesmere-port-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Employment Agency Standards Inspectorate,employment-agency-standards-inspectorate,Sub organisation,closed,department-for-business-and-trade,44,31,7,0,2,0,0,3,0,0,3,1,0,0,13,2,0,0
Employment Appeal Tribunal,employment-appeal-tribunal,Tribunal,live,hm-courts-and-tribunals-service,2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Employment Tribunal,employment-tribunal,Tribunal,live,hm-courts-and-tribunals-service,131688,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Engineering and Physical Sciences Research Council,engineering-and-physical-sciences-research-council,Sub organisation,exempt,uk-research-and-innovation,47,23,1,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0
Engineering Construction Industry Training Board,engineering-construction-industry-training-board,Executive non-departmental public body,exempt,department-for-work-pensions,25,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
English Heritage,english-heritage,Executive non-departmental public body,closed,department-for-digital-culture-media-sport,36,14,0,0,0,0,0,2,0,0,0,1,0,0,10,1,0,0
English Institute of Sport,english-institute-of-sport,Other,exempt,uk-sport,12,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
English Nature,english-nature,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
English Partnerships,english-partnerships,Executive agency,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
English Sports Council,english-sports-council,Other,closed,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Enterprise Ulster,enterprise-ulster,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Environment Agency,environment-agency,Executive non-departmental public body,live,department-for-environment-food-rural-affairs,11443,7639,483,186,465,184,19,421,330,0,3981,1008,3,2,134,132,11,280
Environment and Heritage Service,environment-and-heritage-service,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Equal Opportunities Commission,equal-opportunities-commission,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Equality 2025,equality-2025,Advisory non-departmental public body,closed,department-for-work-pensions,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Equality and Human Rights Commission,equality-and-human-rights-commission,Executive non-departmental public body,exempt,cabinet-office,64,28,4,0,1,0,0,4,0,0,0,8,0,0,11,0,0,0
Equality Commission for Northern Ireland,equality-commission-for-northern-ireland,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Equality Hub,the-equality-hub,Other,closed,cabinet-office,92,30,12,0,0,0,0,4,0,0,0,9,1,0,1,1,0,2
Equitable Life Inquiry,equitable-life-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Estyn,estyn,Other,exempt,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethics and Integrity Commission,ethics-and-integrity-commission,Advisory non-departmental public body,exempt,cabinet-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluation Task Force,evaluation-task-force,Other,live,cabinet-office,61,38,14,0,2,0,0,0,0,0,1,14,0,0,6,0,0,1
Examination team on child care procedures and practice in North Wales,examination-team-on-child-care-procedures-and-practice-in-north-wales,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Exchequer and Audit Department,exchequer-and-audit-department,Ministerial department,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Exmoor National Park Authority,exmoor-national-park-authority,Other,exempt,department-for-environment-food-rural-affairs,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Export Control Joint Unit,export-control-joint-unit,Sub organisation,live,department-for-business-and-trade,497,373,96,31,53,0,0,0,0,0,182,3,0,0,8,0,0,0
Export Guarantees Advisory Council,export-guarantees-advisory-council,Other,live,uk-export-finance,25,17,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0
Fair Work Agency,fair-work-agency,Executive agency,live,department-for-business-and-trade,44,33,13,0,10,0,0,3,1,0,3,1,1,0,1,0,0,0
Family Division of the High Court,family-division-of-the-high-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Health Services Appeal Authority,family-health-services-appeal-authority,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Family Justice Council,family-justice-council,Advisory non-departmental public body,exempt,ministry-of-justice,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Family Procedure Rule Committee,family-procedure-rule-committee,Advisory non-departmental public body,live,ministry-of-justice,51,33,16,0,4,0,0,0,0,0,4,0,0,0,2,2,0,5
FCDO Services ,fcdo-services,Executive agency,joining,foreign-commonwealth-development-office,370,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
FCO Services,fco-services,Other,closed,foreign-commonwealth-office,343,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Financial Conduct Authority,financial-conduct-authority,Other,exempt,hm-treasury,56,36,3,0,0,0,0,9,0,0,1,8,0,0,10,2,0,3
Financial Remedies Court,financial-remedies-court,Court,joining,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Reporting Council,financial-reporting-council,Executive non-departmental public body,exempt,department-for-business-and-trade,28,16,0,0,0,0,0,0,0,0,1,0,1,0,14,0,0,0
Financial Services Organisation,financial-services-organisation,Sub organisation,closed,uk-trade-investment,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Financial Services Trade and Investment Board,financial-services-trade-and-investment-board,Sub organisation,closed,hm-treasury,12,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Fire Authority for Northern Ireland,fire-authority-for-northern-ireland,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fire Service College,fire-service-college,Other,exempt,,10,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Firearms Consultative Committee,firearms-consultative-committee,Other,closed,,13,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Firebuy,firebuy,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
First-tier Tribunal (Asylum Support),first-tier-tribunal-asylum-support,Tribunal,live,hm-courts-and-tribunals-service,104,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
First-tier Tribunal (Care Standards),first-tier-tribunal-care-standards,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (Criminal Injuries Compensation),first-tier-tribunal-criminal-injuries-compensation,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (General Regulatory Chamber),first-tier-tribunal-general-regulatory-chamber,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (Immigration and Asylum),first-tier-tribunal-immigration-and-asylum,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (Mental Health),first-tier-tribunal-mental-health,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (Property Chamber),first-tier-tribunal-property-chamber,Tribunal,live,hm-courts-and-tribunals-service,16898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (Social Security and Child Support),first-tier-tribunal-social-security-and-child-support,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (Special Educational Needs and Disability),first-tier-tribunal-special-educational-needs-and-disability,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (Tax),first-tier-tribunal-tax,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First-tier Tribunal (War Pensions and Armed Forces Compensation),first-tier-tribunal-war-pensions-and-armed-forces-compensation,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fisheries Conservancy Board for Northern Ireland,fisheries-conservancy-board-for-northern-ireland,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fleet Air Arm Museum ,fleet-air-arm-museum,Sub organisation,exempt,ministry-of-defence,10,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Flood and Coastal Erosion Risk Management Research and Development Programme,flood-and-coastal-erosion-risk-management-research-and-development-programme,Sub organisation,live,department-for-environment-food-rural-affairs,439,402,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,397
Flood Forecasting Centre,flood-forecasting-centre,Other,live,met-office,33,11,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Flood Re,flood-re,Other,exempt,department-for-environment-food-rural-affairs,7,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Food from Britain,food-from-britain,Other,closed,,12,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Food Safety Promotion Board,food-safety-promotion-board,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Food Standards Agency,food-standards-agency,Non-ministerial department,exempt,,290,93,3,0,17,0,0,9,0,0,0,8,1,1,49,1,0,4
Football Licensing Authority,football-licensing-authority,Other,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Foreign & Commonwealth Office,foreign-commonwealth-office,Ministerial department,closed,,16523,2204,816,0,68,0,0,406,0,0,8,442,20,5,390,20,27,2
Foreign Compensation Commission,foreign-compensation-commission,Tribunal,closed,,10,7,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0
"Foreign, Commonwealth & Development Office",foreign-commonwealth-development-office,Ministerial department,live,,48187,3189,1505,39,508,0,0,769,9,0,8,91,9,10,167,0,71,3
Forensic Science Northern Ireland,forensic-science-northern-ireland,Executive agency,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Forensic Science Regulator,forensic-science-regulator,Other,live,home-office,253,157,99,0,0,0,0,2,0,0,0,12,2,0,15,23,0,4
Forensic Science Service,forensic-science-service,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Forest Research,forest-research,Executive agency,exempt,forestry-commission,48,21,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0
Forest Service,forest-service,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Forestry Commission,forestry-commission,Non-ministerial department,live,department-for-environment-food-rural-affairs,1171,444,134,4,89,12,1,19,1,0,2,8,0,0,162,12,0,0
Forestry England,forest-enterprise-england,Executive agency,exempt,forestry-commission,28,14,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Fuel Poverty Advisory Group,the-fuel-poverty-advisory-group,Advisory non-departmental public body,closed,department-of-energy-climate-change,8,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
Further and Higher Education Funding Councils for Wales,further-and-higher-education-funding-councils-for-wales,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Further Education Commissioner,further-education-commissioner,Sub organisation,live,department-for-education,20,13,4,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0
Gambling Commission,gambling-commission,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,109,26,1,0,0,0,0,0,0,0,0,1,0,0,22,2,0,0
Gaming Board for Great Britain,gaming-board-for-great-britain,Other,closed,,20,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Gangmasters and Labour Abuse Authority,gangmasters-and-labour-abuse-authority,Executive non-departmental public body,closed,home-office,19,12,0,0,0,0,0,2,0,0,0,0,1,0,8,1,0,0
Gangmasters Licensing Appeals,gangmasters-licensing-appeals,Tribunal,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gangmasters Licensing Authority,gangmasters-licensing-authority,Executive non-departmental public body,closed,home-office,22,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1
Gas and Electricity Consumer Council (Energywatch),gas-and-electricity-consumer-council-energywatch,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
General Advisory Committee on Science,general-advisory-committee-on-science,Advisory non-departmental public body,closed,food-standards-agency,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Consumer Council for Northern Ireland,general-consumer-council-for-northern-ireland,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
General Social Care Council,general-social-care-council,Other,closed,,11,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
General Teaching Council for England,general-teaching-council-for-england,Executive agency,closed,,10,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Geospatial Commission,geospatial-commission,Sub organisation,closed,department-for-science-innovation-and-technology,152,81,14,0,4,0,0,16,0,0,0,7,6,0,33,1,0,0
Gloucester Education Action Zone,gloucester-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gov Facility Services Limited,gov-facility-services-limited,Sub organisation,live,ministry-of-justice,60,8,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Government Actuary's Department,government-actuarys-department,Non-ministerial department,live,hm-treasury,704,254,91,0,5,0,0,2,0,1,0,81,25,0,46,3,0,0
Government Analysis Function,government-analysis-function,Sub organisation,live,civil-service,46,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Government Car and Despatch Agency,government-car-and-despatch-agency,Executive agency,closed,,10,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Government Chemist,government-chemist,Sub organisation,live,department-for-science-innovation-and-technology,406,123,1,0,2,0,0,3,0,0,0,75,18,0,24,0,0,0
Government Commercial Agency,government-commercial-agency,Executive agency,live,cabinet-office,25,14,4,0,1,0,0,3,0,0,1,0,0,0,5,0,0,0
Government Commercial Function,government-commercial-function,Sub organisation,live,civil-service,52,42,29,0,3,0,0,6,0,0,0,0,0,0,3,0,0,1
Government Communication Service,civil-service-government-communication-service,Sub organisation,live,civil-service,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Communications Headquarters,government-communications-headquarters,Other,exempt,foreign-commonwealth-development-office,32,9,2,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0
Government Corporate Finance Profession,civil-service-corporate-finance-profession-cfp,Sub organisation,live,uk-government-investments,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Cyber Profession,government-cyber-profession,Sub organisation,joining,department-for-science-innovation-and-technology,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Data Quality Hub,government-data-quality-hub,Sub organisation,live,office-for-national-statistics,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Debt Management Function,government-debt-management-function,Other,live,hm-treasury,6,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Government Digital Service,government-digital-service,Sub organisation,live,department-for-science-innovation-and-technology,1408,819,100,0,176,0,0,25,0,0,1,12,5,0,9,4,0,487
Government Economic Service,civil-service-government-economic-service,Sub organisation,live,civil-service,30,11,4,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0
Government Equalities Office,government-equalities-office,Other,closed,cabinet-office,789,294,64,1,3,0,0,60,0,0,0,77,31,15,24,15,1,3
Government Estates Management,government-estates-management,Other,live,cabinet-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Finance Function,government-finance-function,Sub organisation,live,civil-service,14,10,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1
Government Finance Profession,civil-service-government-finance-profession,Sub organisation,closed,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Geography Profession,government-geography-profession,Sub organisation,live,civil-service,27,11,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
Government Internal Audit Agency,government-internal-audit-agency,Executive agency,live,hm-treasury,123,57,12,0,1,0,0,5,0,0,0,0,0,0,38,0,0,1
Government IT Profession,civil-service-government-it-profession,Sub organisation,closed,civil-service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Knowledge & Information Management Profession,civil-service-government-knowledge-information-management-profession,Sub organisation,live,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Legal Department,government-legal-department,Non-ministerial department,live,attorney-generals-office,497,126,58,0,17,0,0,1,0,0,0,0,0,0,47,1,2,0
Government Legal Profession,civil-service-government-legal-profession,Sub organisation,live,civil-service,41,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Legal Service,civil-service-government-legal-service,Sub organisation,closed,civil-service,9,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Occupational Psychology Profession ,civil-service-government-occupational-psychology-profession,Sub organisation,live,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Office for Science,government-office-for-science,Other,live,department-for-science-innovation-and-technology,805,537,57,0,2,0,0,2,0,0,10,429,1,19,14,2,1,0
Government Office for Technology Transfer,government-office-for-technology-transfer,Sub organisation,live,department-for-science-innovation-and-technology,49,21,11,0,2,0,0,0,0,0,2,1,1,0,4,0,0,0
Government Operational Research Service,civil-service-government-operational-research-service,Sub organisation,live,civil-service,12,8,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Partnerships International,government-partnerships-international,Sub organisation,joining,stabilisation-unit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government People Function,government-people-function,Other,live,civil-service,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Government People Group,government-people-group,Sub organisation,live,cabinet-office,30,24,5,0,12,0,0,3,0,0,0,0,0,0,4,0,0,0
Government Planning Inspectors,civil-service-government-planning-inspectors,Sub organisation,live,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Planning Profession,civil-service-the-government-planning-profession,Sub organisation,live,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Procurement Service,government-procurement-service,Executive agency,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Government Project Delivery,government-project-delivery,Sub organisation,live,civil-service,6,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Government Property Agency,government-property-agency,Executive agency,live,cabinet-office,143,19,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Government Property Function,government-property-function,Sub organisation,live,civil-service,26,19,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
Government Property Profession,civil-service-government-property-profession,Sub organisation,closed,civil-service,7,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Government Recruitment Service,government-recruitment-service,Sub organisation,live,government-people-group,7,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Science & Engineering Profession,civil-service-government-science-engineering,Sub organisation,live,civil-service,47,20,11,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0
Government Security Profession,government-security-profession,Sub organisation,live,civil-service,16,12,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Government Skills,government-skills,Sub organisation,live,cabinet-office,102,44,3,0,24,0,0,0,0,0,1,14,0,0,2,0,0,0
Government Skills and Curriculum Unit,government-skills-and-curriculum-unit,Sub organisation,closed,cabinet-office,15,8,3,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0
Government Social Research Profession,civil-service-government-social-research-profession,Sub organisation,live,civil-service,63,57,16,0,4,0,0,0,0,0,0,29,0,0,6,2,0,0
Government Statistical Service,civil-service-government-statistical-service,Sub organisation,exempt,civil-service,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Tax Profession,civil-service-government-tax-profession,Sub organisation,live,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Veterinary Services ,civil-service-government-veterinary-services,Sub organisation,live,civil-service,10,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gowers Review of Intellectual Property,gowers-review-of-intellectual-property,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
