timestamp,pageSlug,wordCount,r2Key,status
2026-05-25T23:22:30.072Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders",203,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders/main.text","ok"
2026-05-25T23:22:30.082Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--changes",2661,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--changes/main.text","ok"
2026-05-25T23:22:30.088Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--communication-and-media-considerations--changes",200,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--communication-and-media-considerations--changes/main.text","ok"
2026-05-25T23:22:30.097Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--home-visits",2104,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--home-visits/main.text","ok"
2026-05-25T23:22:30.115Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--home-visits--changes",175,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--home-visits--changes/main.text","ok"
2026-05-25T23:22:30.117Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--identification-mosovo-offenders",2640,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--identification-mosovo-offenders/main.text","ok"
2026-05-25T23:22:30.118Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--court-orders-and-notices",4510,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--court-orders-and-notices/main.text","ok"
2026-05-25T23:22:30.119Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--identifying-assessing-and-managing-risk",5625,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--identifying-assessing-and-managing-risk/main.text","ok"
2026-05-25T23:22:30.171Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--identifying-assessing-and-managing-risk--changes",411,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--identifying-assessing-and-managing-risk--changes/main.text","ok"
2026-05-25T23:22:30.173Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--introduction-managing-sexual-offenders-and-violent-offenders",3329,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--introduction-managing-sexual-offenders-and-violent-offenders/main.text","ok"
2026-05-25T23:22:30.175Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--communication-and-media-considerations",1154,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--communication-and-media-considerations/main.text","ok"
2026-05-25T23:22:30.176Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--managing-public-protection-information--changes",203,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--managing-public-protection-information--changes/main.text","ok"
2026-05-25T23:22:30.199Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--court-orders-and-notices--changes",405,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--court-orders-and-notices--changes/main.text","ok"
2026-05-25T23:22:30.200Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--introduction-managing-sexual-offenders-and-violent-offenders--changes",487,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--introduction-managing-sexual-offenders-and-violent-offenders--changes/main.text","ok"
2026-05-25T23:22:30.202Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--managing-public-protection-information",5636,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--managing-public-protection-information/main.text","ok"
2026-05-25T23:22:30.211Z,"major-investigation-and-public-protection--investigating-child-abuse-and-safeguarding-children--police-response-investigating-child-abuse--staffing-and-child-abuse-investigation-unit--changes",234,"operational/college-of-policing/app/major-investigation-and-public-protection--investigating-child-abuse-and-safeguarding-children--police-response-investigating-child-abuse--staffing-and-child-abuse-investigation-unit--changes/main.text","ok"
2026-05-25T23:22:30.213Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--identification-mosovo-offenders--changes",241,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--identification-mosovo-offenders--changes/main.text","ok"
2026-05-25T23:22:30.219Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--multi-agency-public-protection-arrangements-mappa",1755,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--multi-agency-public-protection-arrangements-mappa/main.text","ok"
2026-05-25T23:22:30.223Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--multi-agency-public-protection-arrangements-mappa--changes",298,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--multi-agency-public-protection-arrangements-mappa--changes/main.text","ok"
2026-05-25T23:22:30.228Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--notification-requirements",3551,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--notification-requirements/main.text","ok"
2026-05-25T23:22:30.237Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--notification-requirements--changes",330,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--notification-requirements--changes/main.text","ok"
2026-05-25T23:22:30.253Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--offenders-mental-health-issues",1318,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--offenders-mental-health-issues/main.text","ok"
2026-05-25T23:22:30.258Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--offenders-mental-health-issues--changes",275,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--offenders-mental-health-issues--changes/main.text","ok"
2026-05-25T23:22:30.275Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--reviews--changes",205,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--reviews--changes/main.text","ok"
2026-05-25T23:22:30.278Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--reviews",2698,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--reviews/main.text","ok"
2026-05-25T23:22:30.287Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--potentially-dangerous-persons",2633,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--potentially-dangerous-persons/main.text","ok"
2026-05-25T23:22:30.291Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--potentially-dangerous-persons--changes",197,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--potentially-dangerous-persons--changes/main.text","ok"
2026-05-25T23:22:30.296Z,"major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--travelling-abroad",2637,"operational/college-of-policing/app/major-investigation-and-public-protection--managing-sexual-offenders-and-violent-offenders--travelling-abroad/main.text","ok"
