company_registration_number,donor_name_as_published,donation_rows,rows_that_would_become_signals,distinct_members,first_accepted,last_accepted,total_pence
01970855,"BAA Airports Ltd",245,142,142,2001-02-01,2009-03-17,121749000
12373468,"The Refugee, Asylum and Migration Policy Project (RAMP)",60,60,11,2020-07-01,2026-05-01,63767300
09562237,"Labour Friends of Israel Ltd",45,37,24,2013-09-29,2026-01-25,10347256
01960988,"Manchester Airport Plc",43,28,28,2001-06-30,2003-04-09,21044802
02890577,"Christine Lee & Co",26,25,1,2010-07-05,2020-02-28,43229254
05635995,"BM Creative Management Ltd",25,22,7,2007-05-30,2019-10-10,18475000
04987694,"The Cayzer Trust",30,21,4,2005-03-31,2024-05-08,17929000
06681477,"Aquind Limited",20,20,8,2018-09-07,2024-03-27,17756500
9630980,"Labour Together Limited",127,17,17,2020-04-21,2026-03-30,232565934
8114952,"Conservative Friends of Israel (CFI Ltd)",36,17,17,2014-10-16,2022-09-28,11677000
08114952,"Conservative Friends of Israel Limited",19,17,12,2013-11-10,2026-01-04,4890000
7213374,"MPM Connect Limited (a company controlled by Peter Hearn)",18,17,2,2020-03-26,2023-11-27,35221700
09630980,"Labour Together",15,14,7,2017-04-25,2024-08-01,26181413
00675216,"Timpson Ltd",14,14,1,2009-02-06,2017-04-05,85242303
06034381,"Spicer Haart",13,13,1,2015-09-24,2021-09-13,2922117
13425037,"Abraham Accords (UK) (Middle East Forum Ltd)",13,13,4,2022-01-08,2023-10-05,6313925
02865543,"Countywide Developments Limited",15,12,4,2003-04-29,2024-10-02,21257308
03201382,"OPD Group Ltd",13,12,3,2023-10-30,2026-02-06,30050000
04745677,"Mission Media Ltd",11,11,1,2014-08-28,2015-05-31,6000000
07213374,"MPM Connect Ltd",11,11,1,2020-01-15,2023-07-31,13950000
2255021,"Britania Ltd",11,11,1,2011-07-26,2014-09-02,2457572
5635995,"BM Creative Management Limited",49,10,8,2011-02-07,2022-03-07,17974000
OC412989,"Good Faith Partnership LLP",22,10,3,2018-02-05,2025-12-30,27729700
13763473,"Elnet UK Limited",13,9,8,2022-11-28,2026-02-16,5153672
03979826,"Grand Central Railway Ltd",11,9,8,2009-07-08,2014-08-22,3375600
4987694,"The Cayzer Trust Company Ltd",71,8,2,2011-06-06,2025-04-14,45485000
03010238,"Sun Mark Ltd",11,8,6,2009-12-10,2020-03-13,9885779
SC307960,"Kirklee Property Company (2) Ltd",10,8,1,2016-03-24,2019-11-20,4000000
03275808,"Brompton Capital Ltd",9,8,5,2008-03-14,2014-07-02,29600000
3408967,"Betterworld Limited",37,7,4,2007-10-18,2025-04-10,39775000
11870524,"David Kogan Ltd",8,7,5,2022-02-14,2024-05-13,3091000
8863041,"Energy & Climate Intelligence Unit",7,7,7,2023-12-08,2023-12-08,1063755
05754547,"Cambria Automobiles Ltd",7,7,1,2018-10-17,2023-06-09,4070000
11009144,"IX Wireless Limited",42,6,4,2021-01-26,2023-06-09,26960100
0,"Ruskin Hall Trustees Limited",7,6,3,2013-02-18,2018-02-19,2902574
05610658,"Pulsecheck Ltd",7,6,1,2010-04-21,2015-08-21,1182500
3718331,"Henley Homes",7,6,1,2013-11-04,2022-07-20,3111956
5699535,"Yalta European Strategy Ltd",6,6,6,2022-09-08,2022-09-08,1220034
82990,"Conservative Friends of Israel Ltd",6,6,6,2022-04-03,2022-04-03,2242000
00806669,"C. A. Church Ltd",6,6,1,2001-03-05,2005-05-12,8500000
7964746,"Satellite Applications Catapult Ltd",6,6,6,2020-02-03,2020-02-03,3960000
3979826,"Grand Central Railway Company Ltd",6,6,5,2009-07-01,2011-06-01,2590000
2471319,"Hotcourses Ltd",6,6,1,2005-05-27,2009-01-25,21271213
09010358,"Avre Partnership Ltd",6,6,3,2020-01-24,2024-04-29,2444083
08863041,"Energy & Climate Intelligence Unit",6,6,6,2025-11-09,2025-11-12,2223895
01600117,"Virgin Atlantic Airways Ltd",6,6,5,2011-08-30,2012-10-16,2073572
2865543,"Countrywide Developments Ltd",69,5,2,2012-06-13,2024-03-07,424176158
03408967,"Betterworld Foundation Ltd",32,5,4,2006-08-10,2026-07-14,20516666
1102932,"Berkeley Burke (Holdings) Ltd",19,5,1,2011-01-07,2017-06-09,22478475
3092306,"DCD Properties",17,5,3,2007-11-21,2025-09-15,33408212
03988618,"Pietas Ltd",9,5,3,2005-05-02,2019-08-12,3291290
02404081,"Commercial Estates Group Ltd",6,5,1,2016-06-28,2024-10-23,1777400
000000,"Harper Collins",6,5,4,2011-05-21,2016-04-04,2184450
03092306,"DCD Properties Ltd",6,5,2,2009-06-04,2016-07-06,3750000
CE005716,"Yachad",5,5,5,2024-02-14,2024-02-14,1219600
15872051,"The YIMBY Initiative Ltd",5,5,2,2025-06-30,2025-09-25,2266664
02533469,"CH2M",5,5,3,2012-03-30,2017-03-14,1620772
01423059,"Garavi Gujarat Publications Ltd",5,5,1,2011-04-29,2016-11-25,2390000
06364749,"ECM (London) Ltd",5,5,1,2007-11-01,2008-03-01,1500000
14198072,"Policy Focus Ltd",5,5,1,2022-07-11,2022-07-26,4217444
02608886,"Golden Tours",5,5,1,2014-06-23,2017-01-19,1100000
9010358,"Avre Partnership Limited",51,4,1,2015-03-01,2024-05-16,25526206
4517529,"Computer Service Centre Ltd",42,4,1,2014-02-01,2022-04-05,14052864
07046518,"Democracy Forum",24,4,1,2018-07-31,2023-12-06,6812100
2155845,"First Corporate Consultants Ltd",16,4,2,2008-05-19,2022-07-22,19000000
01207120,"Bestway Wholesale",11,4,2,2005-04-12,2024-08-21,10286255
04267560,"Gloucester Research Ltd",9,4,1,2007-07-09,2012-07-05,27949900
2896868,"DCD London & Mutual",9,4,3,2004-11-16,2020-08-01,3990000
03575908,"Armajaro Holdings",8,4,1,2004-05-10,2019-11-25,14999900
03829637,"Trust Reservations",8,4,3,2007-07-20,2021-04-20,4372440
01777777,"British Airways",5,4,4,2001-09-30,2013-05-04,1274400
2928711,"AA Homes and Housing",4,4,1,2015-07-09,2015-10-19,1990000
3247723,"Senator Press",4,4,1,2017-09-22,2020-09-11,1060900
04024808,"8hwe Ltd",4,4,1,2019-01-09,2022-06-08,1200000
3431388,"Bateman Groundworks Ltd",4,4,1,2018-11-20,2021-08-18,4200000
391886,"Road Haulage Association",4,4,1,2013-03-18,2015-01-12,3167500
2810840,"Keltbray Group (Holdings) Ltd",4,4,1,2013-05-29,2016-04-22,7000000
2761858,"Results UK",4,4,4,2017-08-20,2022-09-16,938405
06828274,"Hajj Baba Ltd",4,4,3,2019-08-24,2019-08-25,784000
02807934,"Westminster Drugs Project",4,4,1,2017-09-01,2020-01-01,2106500
11211970,"Heward Mills Ltd",4,4,3,2025-05-23,2025-05-23,1171576
2004967,"Nottingham City Transport",4,4,1,2017-12-08,2022-11-30,667000
13100371,"The Spott Fitness Ltd",4,4,1,2024-07-02,2024-09-17,10000000
1370124,"Castle Rising Holdings Ltd",4,4,1,2004-12-31,2007-12-31,2000000
SC184779,"Abbey Business Centres Ltd",51,3,3,2001-03-30,2010-05-31,126388710
SC224822,"United Wholesale (Scotland) Ltd",24,3,2,2009-02-04,2016-02-12,19686452
8572386,"Fostermco Limited",18,3,2,2013-10-01,2016-03-30,44281628
02261192,"Marcus Evans Limited",16,3,3,2006-09-30,2015-07-06,23291100
03722036,"Regent Family Office Ltd",10,3,3,2019-05-24,2024-07-25,13850000
02567156,"Piccadilly Greetings Group Ltd",10,3,1,2005-02-17,2011-11-09,2575000
2542406,"First Corporate Shipping Limited",10,3,2,2012-09-13,2024-04-16,6900000
01397169,"Prudential Plc",6,3,3,2013-03-09,2013-03-10,1828992
3829637,"Trust Reservations",6,3,3,2007-11-22,2022-06-06,3728584
09556732,"F T Estates",6,3,1,2023-05-03,2024-09-27,7740000
03820426,"Sovereign Strategy Limited",5,3,1,2007-09-21,2015-09-02,3058000
6330576,"Red Capital Ltd",5,3,3,2015-07-14,2023-10-30,1400000
0000000,"Qatar Airways",5,3,3,2011-05-21,2015-11-10,946400
03955434,"Centrax Industries Ltd",4,3,1,2014-07-15,2017-05-04,6020000
08810797,"Gallagher Developments Group Ltd",4,3,1,2019-09-06,2023-11-07,1746400
05035508,"Access Industries (UK) Limited",4,3,1,2024-07-24,2024-10-30,12000000
03227957,"JT Consultancy Limited",4,3,1,2018-10-04,2024-06-19,9971000
3514128,"Estates UK",4,3,1,2007-02-15,2023-07-13,1380000
497227,"Partners & Limited",3,3,1,2022-04-11,2024-05-28,3000000
03784476,"Asian Marketing Group",3,3,1,2001-12-30,2003-12-30,750000
01524815,"Tratos (UK)) Ltd.",3,3,3,2019-07-29,2025-10-21,1585624
03782700,"Eggborough Power Limited",3,3,1,2012-10-27,2014-09-30,2121578
02580377,"Addaction",3,3,1,2017-09-01,2019-01-01,1568600
01694712,"Blenheim",3,3,1,2017-09-01,2019-01-01,1568600
08860726,"Informa Plc",3,3,2,2025-06-03,2026-06-09,2070124
Room 74,"AA Homes and Housing",3,3,1,2015-06-01,2015-08-01,2069173
03861858,"Calverts Carpets Ltd",3,3,1,2014-07-30,2018-07-16,2550000
2506007,"United Biscuits",3,3,1,2016-12-12,2021-11-26,600000
4045308,"Edwards Coaches Ltd",3,3,1,2016-07-21,2016-08-30,1585100
0 9425454,"UK 2020 Ltd",3,3,1,2016-07-26,2018-11-14,1490000
11008144,"IX Wireless Limited Company",3,3,2,2021-07-05,2022-09-09,950000
05074477,"Climate Parliament",3,3,2,2022-11-02,2025-11-02,974689
00573221,"Carlton Club (London) Ltd",3,3,3,2009-10-31,2023-01-20,2114000
BR000746,"JP Morgan",3,3,2,2009-09-18,2012-09-14,493279
03395681,"Aid Alliance",3,3,1,2024-11-04,2026-02-01,1040000
08080948,"BMJ Waste Ltd",3,3,1,2021-02-11,2023-07-03,3000000
9654873,"Momentum Campaign Ltd",3,3,2,2019-06-10,2020-02-05,12262336
12939207,"IPAC Global Limited",3,3,2,2023-02-16,2023-08-31,1017685
04822520,"Amara Mining PLC",3,3,2,2006-07-24,2013-02-14,1749900
1908230,"Center Parks Ltd",3,3,1,2020-02-19,2022-10-24,600000
14017048,"Sunbeam Consulting Ltd",3,3,1,2024-07-31,2024-09-17,3140000
00934004,"Dominion Press",3,3,1,2001-04-30,2001-12-13,1420000
04108747,"Persimmon Homes Ltd",3,3,2,2023-01-09,2026-03-06,900000
08494048,"London Tea Exchange",3,3,1,2015-04-13,2015-09-17,6935000
682651,"JCB Research",102,2,2,2006-07-14,2019-10-23,263996986
02736122,"Ministry of Sound Ltd",63,2,1,2006-03-02,2014-12-31,107011483
00682651,"JCB Research Ltd",44,2,1,2001-04-26,2014-12-13,169831407
6390883,"Offshore Group Newcastle Limited",39,2,2,2012-08-08,2015-12-15,46477500
6681477,"Aquind Limited",37,2,2,2018-05-02,2024-04-18,43294200
5204672,"Investors in Private Capital Ltd",22,2,2,2010-03-11,2022-09-07,105372012
02278367,"Harris Ventures Ltd",20,2,2,2001-12-06,2010-05-01,122147000
10922505,"Longrow Capital Ltd",13,2,2,2018-10-18,2025-10-14,13200000
05041587,"CC Property",8,2,2,2009-10-27,2019-09-12,13757651
573221,"Carlton Club (London) Limited",7,2,2,2014-12-23,2021-05-31,13292500
03430322,"Bloomberg UK",6,2,2,2001-05-29,2011-07-01,7283300
02542406,"FIRST CORPORATE SHIPPING LIMITED",5,2,2,2012-11-25,2024-03-08,4700000
01954085,"Arbuthnot Banking Group",5,2,2,2005-03-01,2019-03-01,22970370
9908188,"Nicolas James Ltd",4,2,1,2021-03-03,2022-03-28,14700000
5943538,"Charlie Parsons Creative Limited",4,2,2,2019-10-23,2024-05-23,35400000
00736066,"Annabel's (Berkeley Square) Ltd",4,2,1,2005-04-09,2010-07-30,3180000
9527278,"Intro Developments Ltd",4,2,2,2016-12-14,2024-03-04,1500000
07975061,"Prabodhan Ltd",3,2,1,2013-11-12,2018-03-29,620216
OC387589,"RCL Partners LLP",3,2,1,2019-06-19,2020-10-15,5000000
1535640,"Aventis Pharma Ltd (trading as Sanofi)",3,2,2,2004-11-03,2017-06-09,10143900
15311615,"Blue WV Ltd",3,2,1,2024-07-24,2024-08-13,6450000
04870331,"Ebury Court Residential Home Ltd",3,2,1,2022-12-19,2025-12-12,800000
06330576,"Red Capital Ltd",3,2,2,2016-04-14,2021-12-01,1750000
0683 2361,"Falcon and Associates International Ltd",3,2,2,2016-11-03,2016-11-03,1293900
01561802,"Sigma Pharmaceuticals PLC",3,2,1,2005-04-19,2018-02-11,847500
04229941,"Stonegrave Properties limited",3,2,1,2013-07-05,2015-07-07,712500
02896868,"DCD London and Mutual",3,2,1,2010-04-23,2023-06-15,1250000
6056821,"Quatro Public Relations Ltd",3,2,2,2014-10-20,2016-08-05,2652436
6244250,"IBROW LIMITED",3,2,1,2014-08-08,2017-03-31,1700000
09527278,"Intro Develpoments Ltd",3,2,1,2020-03-05,2021-12-18,2220000
03691917,"CQS Management Ltd",3,2,2,2005-03-09,2011-05-24,11169376
0730 6304,"IDTD Services Ltd",2,2,1,2016-09-19,2016-10-19,200000
01826833,"Central London Advice Service",2,2,1,2004-08-01,2005-04-01,1687500
09145823,"Galliard Holdings Limited",2,2,1,2015-03-20,2015-08-10,3000000
09231644,"Moulsford Capital Limited",2,2,1,2019-05-22,2019-07-01,1270603
414220,"PA Consulting Services Ltd",2,2,2,2015-03-02,2015-03-24,1940000
09394775,"The Perpetual Investco Ltd",2,2,1,2023-05-10,2024-05-14,2000000
5358089,"Butt and Hobbs Ltd",2,2,1,2021-09-22,2021-10-26,272000
15392819,"Community Unity Ltd",2,2,1,2024-10-30,2024-11-18,6313129
06390883,"Offshore Group Newcastle Ltd",2,2,2,2014-09-17,2014-12-15,1000000
02570704,"Education Action International",2,2,1,2002-10-01,2004-01-01,2025000
09813058,"Skeol Ltd",2,2,1,2018-04-06,2018-10-17,500000
10149826,"Public First",2,2,2,2024-02-20,2024-02-20,590000
04718196,"Toolkit Websites",2,2,1,2010-05-07,2013-05-07,1200000
10318390,"InvestUK (Group) Ltd",2,2,1,2022-04-14,2022-07-18,1500000
10494378,"The Concordia Network",2,2,1,2022-09-08,2023-10-12,675626
10799857,"R P Strategy",2,2,1,2019-03-01,2019-06-28,850000
02473403,"Blakeney Holdings Ltd",2,2,1,2019-06-06,2019-06-13,1000000
08267284,"Organise Consulting",2,2,1,2015-05-29,2015-08-21,2517000
11314346,"Innovation in Housing Ltd",2,2,2,2020-01-06,2020-01-28,1100000
11329370,"Crowne Associates Ltd (trading as This is Purpose)",2,2,1,2022-03-21,2022-05-10,209333
7649470,"Adamco Construction Ltd",2,2,1,2021-09-22,2021-10-21,159000
08582169,"The Common Sense Collective Ltd",2,2,1,2018-07-04,2018-11-19,786000
4734592,"Catholic Bishops' Conference England and Wales",2,2,2,2022-10-10,2022-10-10,3204670
00000000,"OPG Power",2,2,2,2015-10-10,2015-12-20,2734000
06832361,"Falcon and Associates International Ltd",2,2,2,2014-12-07,2016-11-03,581400
1169558,"Aziz Foundation",2,2,2,2023-09-11,2023-10-02,4171650
11724413,"Chester Finance & Leasing (Environmental) Limited",2,2,2,2024-09-30,2024-10-24,2000000
00253240,"National Car Parks Ltd",2,2,2,2007-11-14,2008-01-04,204227
11901593,"Latis Group Limited",2,2,1,2022-07-11,2024-07-29,650000
2567156,"Piccadilly Greetings Cards",2,2,1,2015-12-20,2017-12-10,587000
0775765,"Tees Components Ltd",2,2,1,2017-11-03,2019-10-01,1050000
2048608,"Serco UK (Serco Group PLC)",2,2,1,2021-08-01,2022-08-01,2248762
01323955,"Senator International Ltd",2,2,1,2020-04-01,2020-04-01,535400
04763083,"Editorial Intelligence",2,2,2,2010-02-28,2011-03-06,700000
9396683,"Latitude Croydon Ltd",2,2,1,2015-05-31,2015-07-01,240000
7843190,"Rima Ltd",2,2,1,2015-07-06,2015-08-24,220000
1600117,"Virgin Atlantic Airways",2,2,2,2008-11-30,2009-05-10,300100
4452809,"Dignity In Dying",2,2,1,2024-11-12,2024-11-25,270060
02928711,"AA Care Homes",2,2,1,2007-03-28,2007-06-23,316000
00968555,"Woods Coaches Ltd, part of National Express Transport Solutions",2,2,1,2023-02-20,2023-05-30,320000
01820492,"Humankind",2,2,1,2019-04-01,2020-01-01,933450
13331829,"Valary DTL Limited",2,2,1,2024-08-05,2024-08-21,2000000
08572386,"Fostermco Ltd",2,2,1,2014-12-05,2015-08-27,1000000
08560345,"Africa House Ltd",2,2,1,2017-11-06,2020-01-28,854600
1869543,"WYG plc",2,2,1,2016-05-06,2018-03-01,2500000
03206088,"D-Tec International",2,2,1,2025-02-01,2026-02-03,500000
03203859,"Nominet",2,2,2,2011-09-25,2011-09-25,660000
01446445,"Eagle Scientific Ltd",2,2,1,2011-09-26,2018-10-29,598484
06458593,"Unitas Communications",2,2,2,2023-10-12,2023-12-03,684200
653789,"BS Eaton Ltd",2,2,1,2017-11-10,2019-07-03,3000000
8993487,"Alliance for Public Awareness",2,2,1,2022-07-22,2023-07-01,338327
1393302,"Farr Vintners Ltd",2,2,1,2018-03-05,2019-01-31,5500000
1832141,"Ishida Europe Ltd",2,2,1,2018-02-09,2018-10-24,832116
14044449,"Celestine Management Limited",2,2,1,2025-03-03,2025-03-04,3500000
4106849,"Channel 4",2,2,2,2017-02-12,2017-02-12,368000
0164 1421,"Siemens Rail Automation",2,2,1,2016-08-23,2017-12-10,605500
5104786,"Simec Uskmouth Power Limited",2,2,1,2015-08-01,2016-03-29,1888500
05545094,"Key Locators Leyton Ltd",2,2,1,2014-09-11,2015-03-12,940800
05979693,"Barclay Bros CS Ltd",2,2,1,2012-02-01,2012-10-01,1619692
08831542,"Firefly Capital Limited",2,2,1,2024-04-30,2024-10-28,2000000
04191122,"Canary Wharf Group PLC",2,2,2,2012-01-03,2012-01-03,500000
05633036,"Realtime Analysis and News Ltd",2,2,1,2012-07-16,2012-12-20,1053000
4092696,"Tristar Tech Solutions Ltd",2,2,1,2024-03-12,2024-03-15,700000
02608087,"The Andrew Wainwright Reform Trust",2,2,2,2019-04-15,2019-05-13,1100000
00630473,"Caparo Industries PLC",2,2,1,2007-05-21,2007-06-25,4500000
12356990,"Godfrey Coaching Ltd",2,2,1,2024-10-02,2025-10-03,1570000
00640876,"Fergurson Blyth Ltd",2,2,1,2017-11-30,2018-11-30,750000
07774287,"The Varkey Foundation",2,2,2,2017-03-17,2018-03-16,1610616
1430799,"Stalbury Trustees",95,1,1,2008-09-30,2021-04-21,44383000
457188,"Association of Conservative Clubs Limited (The)",81,1,1,2011-04-28,2026-01-29,65696792
3010238,"Sun Mark Limited",76,1,1,2011-04-08,2021-10-12,141721478
6804256,"Huntswood Associates Limited",61,1,1,2018-06-13,2024-08-15,139924772
1207120,"Bestway Wholesale Ltd",48,1,1,2005-01-12,2025-07-31,134813270
4940414,"DURHAM GROUP ESTATES LIMITED",40,1,1,2014-11-20,2025-10-22,16284000
3456018,"IM Group Ltd",39,1,1,2008-09-08,2024-07-24,120001000
SC125363,"Dow Investments PLC",37,1,1,2010-03-19,2024-05-31,19706200
1798514,"Clerewell Limited",30,1,1,2010-02-08,2019-07-10,45800000
1524815,"Tratos (UK) Limited",27,1,1,2015-12-07,2026-03-02,36230311
1954085,"Arbuthnot Banking Group",24,1,1,2006-10-10,2022-07-13,32446700
01692312,"Growth Financial Services Limited",20,1,1,2005-09-15,2024-05-23,121050000
2089582,"Shore Capital Group Plc",16,1,1,2010-02-05,2022-06-06,52317000
2188605,"Residential Land",14,1,1,2012-02-21,2019-06-18,36368877
5150902,"Quinn Estates Ltd",14,1,1,2016-11-10,2022-03-07,10471000
OC333044,"Cavendish Corporate Finance LLP",12,1,1,2008-02-08,2015-09-18,9020000
01243071,"Nikeland Securities Ltd",12,1,1,2002-03-07,2010-03-17,16299999
OC303662,"Christofferson, Robb & Company (UK) LLP",11,1,1,2005-03-22,2011-09-21,14233165
9101090,"R&R ASSET MANAGEMENT LIMITED",10,1,1,2022-02-22,2024-03-14,7874367
2792424,"Tamares Real Estate Investments (UK) Ltd",10,1,1,2005-10-17,2016-03-02,13410000
3187173,"The Red House (Ashstead) Ltd",10,1,1,2019-09-13,2023-06-20,3750000
03340027,"Jersey House (Developments) Ltd",9,1,1,2005-06-30,2025-07-22,66165251
14849463,"New Conservatives Limited",9,1,1,2023-09-19,2024-05-13,4719579
235481,"Caledonia Investments PLC",9,1,1,2008-04-30,2009-04-28,5800000
00711858,"Boehringer Ingelheim Ltd",8,1,1,2002-02-20,2011-07-21,3240000
3299668,"Ministry of Sound Ltd",8,1,1,2012-08-28,2020-01-20,10333500
2553033,"Jayroma (London) Ltd",8,1,1,2005-08-20,2015-09-23,7689000
01104045,"Midland Food Group Ltd",8,1,1,2006-12-01,2018-02-20,5031952
01363570,"Techtest Limited",8,1,1,2001-05-15,2019-05-25,38450000
03249445,"Quantum Securities Ltd",7,1,1,2014-11-13,2024-09-05,2371900
03619340,"Opal Property Group",7,1,1,2006-02-27,2012-11-01,5942300
05204672,"Investors In Private Capital Ltd",7,1,1,2009-04-08,2025-12-02,21750000
02168125,"Anglo Scottish Properties Ltd",7,1,1,2002-06-26,2007-06-13,8750000
1576951,"Whitechurch Securities Ltd",7,1,1,2018-06-12,2019-11-01,4500000
4615342,"VM.AV Corporate Services Ltd",6,1,1,2019-04-15,2022-08-04,18000000
3841076,"Shore Capital Group Ltd",6,1,1,2013-09-20,2016-06-21,12295720
4590298,"C & C Alpha Group",6,1,1,2011-01-09,2019-10-11,38189252
01624297,"Microsoft Ltd",6,1,1,2006-03-28,2015-01-05,9267515
1531949,"Palmer Capital Partners Limited",6,1,1,2008-05-09,2019-09-03,3202235
04353067,"PCL Transport Limited",5,1,1,2019-08-12,2026-01-08,2910000
01798514,"Clerewell Limited",5,1,1,2006-12-22,2024-03-14,2250000
05187484,"Crombie Concessions Ltd",5,1,1,2010-06-30,2010-10-31,4614048
01505036,"T.J. Morris Ltd",5,1,1,2013-05-09,2024-03-04,6000000
03718331,"Henley Homes PLC",5,1,1,2013-02-25,2016-04-15,10430000
352679,"HC Whitehead Ltd",5,1,1,2018-07-17,2019-11-14,1000000
8264748,"Global Diversity Awards Limited",5,1,1,2014-12-08,2017-05-02,5750000
1976991,"Philip Mould Ltd",5,1,1,2005-10-26,2019-11-26,4600000
7196537,"CFT Partners Ltd",5,1,1,2011-12-09,2018-09-26,21934800
02048526,"Windsor Services Ltd",5,1,1,2004-08-03,2007-12-13,6000000
00710682,"S Wernick & Sons (Holdings) Ltd",5,1,1,2009-02-10,2026-02-26,8250000
02366852,"EDF Energy Limited",4,1,1,2003-10-08,2023-06-08,3800000
10162467,"Yoginvest Ltd",4,1,1,2019-07-24,2022-08-04,8000000
03221756,"Sir Rocco Forte Ltd",4,1,1,2005-04-08,2024-10-01,4250000
09101090,"R&R ASSET MANAGEMENT LIMITED",4,1,1,2024-02-14,2024-12-04,3131500
12542036,"Beyond 2050 Limited",4,1,1,2022-04-04,2024-05-20,4450000
04982959,"Charles McDowell Properties Ltd",4,1,1,2021-08-05,2023-11-20,1295214
07042898,"Allam House ltd",4,1,1,2014-05-28,2017-08-30,14500000
01253715,"Stockvale Ltd",4,1,1,2001-06-22,2014-03-27,1052600
SC180246,"Ballathie Estates Ltd",4,1,1,2001-03-01,2007-06-19,5040000
5707007,"Anne Street Partners Ltd",4,1,1,2014-04-25,2016-08-17,11500000
01004502,"Trailfinders Ltd",4,1,1,2018-10-29,2025-06-13,85000000
3952886,"Castle Villas Ltd",4,1,1,2017-08-09,2019-11-11,1800000
8124207,"Signature Living Hotels Ltd",4,1,1,2015-11-17,2018-09-28,2320000
04046934,"Carrousel Capital Limited",4,1,1,2005-02-05,2010-05-12,31000000
03611426,"ICAP PLC",4,1,1,2005-07-21,2015-12-15,1580794
00151415,"Thomas Goode & Co. Ltd",4,1,1,2004-06-09,2006-08-01,1610337
9690232,"Dsam Partners London Ltd",3,1,1,2020-03-04,2022-07-19,2425400
2956243,"FGS Global (UK) Limited",3,1,1,2024-05-29,2024-09-23,2996937
02735678,"Manrows Ltd",3,1,1,2009-07-31,2011-08-10,1360000
SC176032,"Holland House Property Investments Ltd",3,1,1,2009-01-05,2014-12-10,800000
1970855,"LHR AIrports Ltd",3,1,1,2004-02-28,2012-12-24,950000
02373675,"Motcomb Estates Ltd",3,1,1,2006-03-14,2024-08-28,2439000
00600419,"HOBBS ESTATES LTD",3,1,1,2009-10-29,2023-02-09,1125000
03736778,"Galaxy Asset Management Ltd",3,1,1,2004-03-26,2005-07-01,3000000
05539168,"Hepburn Bio Care Ltd",3,1,1,2024-06-26,2025-06-23,3500000
05696974,"IPA Consulting Limited",3,1,1,2006-03-07,2010-08-04,2200000
4663431,"Hauser and Wirth Gallery Limited",3,1,1,2016-02-25,2017-05-20,6000000
7306304,"IDTD SERVICES LIMITED",3,1,1,2017-01-11,2019-06-06,700000
04451975,"Henfield Lodge Aviation Limited",3,1,1,2005-05-03,2008-11-24,5834770
1423059,"Garavi Gujurat (Publications) Ltd",3,1,1,2015-12-16,2020-02-04,1667600
11196033,"Kayan Aviation Capital Ltd",3,1,1,2019-09-26,2021-08-20,3000000
13077795,"Donlow Fininvest",3,1,1,2024-06-17,2024-07-31,6500000
SC239570,"Phoenix Outdoor Advertising Ltd",3,1,1,2013-11-25,2015-06-03,1900000
04773051,"Brigam Ltd",3,1,1,2024-07-17,2024-09-10,1750000
3079647,"Winners Property Limited",2,1,1,2015-07-09,2023-03-14,1250000
04580937,"Madhu’s Ltd",2,1,1,2009-12-08,2014-06-16,1175000
1554968,"Teescraft Engineering Limited",2,1,1,2015-08-10,2024-05-29,750000
02974568,"Trans-Continental Group Ltd",2,1,1,2017-05-02,2017-06-08,1000000
8509310,"Melior Advisers Ltd",2,1,1,2017-01-30,2019-02-12,1188000
06292597,"Drillgreat Ltd",2,1,1,2009-08-07,2019-05-28,6000000
00811900,"Total Exploration and Production UK",2,1,1,2011-10-26,2011-10-26,391962
8873131,"Faculty Science Limited",2,1,1,2024-05-01,2024-06-28,7200000
05574458,"Backup Technology Ltd",2,1,1,2009-07-13,2009-07-16,550000
185609,"Dunchurch Lodge Stud Company",2,1,1,2017-04-27,2024-03-06,625000
-,"Direct News Private Limited",2,1,1,2023-12-21,2026-03-11,808630
1904912,"NH Case LTD",2,1,1,2017-04-23,2017-05-20,1000000
07012425,"Euro Packaging UK Ltd",2,1,1,2015-06-11,2021-11-02,1250000
13159981,"Fenlake Properties Limited",2,1,1,2023-10-30,2024-05-29,500000
13138411,"RCL Partners Ltd",2,1,1,2023-06-07,2025-12-08,764800
00985739,"Clinton Cards Plc",2,1,1,2002-08-22,2005-04-07,400000
06844972,"Audley Ltd",2,1,1,2016-03-23,2019-06-25,5500000
03298131,"St. Philips Care Limited",2,1,1,2013-02-18,2024-02-02,1000000
0001579016,"Privateer Holdings Inc",2,1,1,2018-04-09,2018-04-09,522788
n/a,"IMT International Tours",2,1,1,2023-08-13,2023-08-22,924791
000000000,"Thompson Solicitors",2,1,1,2015-09-20,2017-11-17,634036
02880543,"Keltruck Ltd",2,1,1,2005-11-03,2010-02-05,2000000
SC217026,"Carlton Rock Ltd",2,1,1,2016-05-16,2016-05-16,420000
02863882,"Slater Investments Limited",2,1,1,2005-07-01,2015-05-12,390000
226900,"GQ Magazine",2,1,1,2009-09-08,2009-09-08,360000
2276251,"The RH Group Limited",2,1,1,2019-12-21,2024-10-22,1500000
07053138,"Political Information Ltd",2,1,1,2010-10-01,2011-06-10,524680
07129564,"Purple Apple Management Limited",2,1,1,2010-08-09,2011-03-28,1500000
01623079,"Katisouris (Fresh Foods) Ltd",2,1,1,2001-11-28,2002-01-11,1165675
4732937,"RS Furbs Ltd",2,1,1,2022-03-15,2022-03-22,1040000
