company_registration_number,donor_name_as_published,donation_rows,rows_that_would_become_signals,distinct_members,first_accepted,last_accepted,total_pence
06488871,"Alisa Retail Limited",1,0,0,2015-03-10,2015-03-10,500000
06502275,"Mowbray Indigo Ltd",1,0,0,2015-03-04,2015-03-04,200000
04246195,"Euro Garages Limited",1,0,0,2014-11-25,2014-11-25,1000000
04226716,"Oag Worldwide Ltd",1,0,0,2005-05-10,2005-05-10,300000
06538457 ?,"ST MATTHEWS (SB) LIMITED",1,0,0,2022-05-27,2022-05-27,175000
06552736,"Crowe Caylor and Partners",1,0,0,2011-09-29,2011-09-29,265500
06569672,"D & P Dixon Land & Properties Ltd",1,0,0,2010-04-06,2010-04-06,160000
06569708,"Milestone Civil Engineering Limited",1,0,0,2020-01-22,2020-01-22,500000
06574269,"Maxworld Trading Limited",1,0,0,2010-05-18,2010-05-18,1250000
06574918,"Silveta Limited",1,0,0,2011-12-31,2011-12-31,1920200
06588211,"Interactive Pro Limited",1,0,0,2020-04-16,2020-04-16,1500000
06616608,"The Construction Skills People Ltd",1,0,0,2019-11-12,2019-11-12,200000
06617647,"Vistajet International Ltd",1,0,0,2009-03-02,2009-03-02,1800000
04207587,"Birchover Stone Limited",1,0,0,2017-06-06,2017-06-06,500000
04207327,"Candy & Candy Ltd",1,0,0,2009-09-23,2009-09-23,6050000
06699502,"Kirintec Ltd",1,0,0,2024-07-02,2024-07-02,1000000
06722230,"Tom Atkins Group Ltd",1,0,0,2013-02-28,2013-02-28,1000000
04203655,"Bleasdale Estates Ltd",1,0,0,2009-04-01,2009-04-01,200000
06727338,"Bown Bags & Luggage",1,0,0,2010-05-04,2010-05-04,200000
06734554,"TOTELECOM LIMITED",1,0,0,2024-05-31,2024-05-31,250000
06742862,"JRJ Investments Ltd",1,0,0,2010-05-19,2010-05-19,500000
06752658,"Temple Capital Finance Limited",1,0,0,2017-06-19,2017-06-19,200000
06754360,"WMB STEELE (2009) & CO. LIMITED",1,0,0,2024-06-19,2024-06-19,250000
06763335,"Vaughan Consulting Ltd",1,0,0,2009-01-16,2009-01-16,1000000
04194338,"Compaq Computers Ltd",1,0,0,2001-09-18,2001-09-18,750000
06777461,"Collard Group",1,0,0,2024-06-12,2024-06-12,250000
06781419,"Pillbox38 (UK) Ltd",1,0,0,2013-05-09,2013-05-09,2500000
06782413,"Mad Mobiles Ltd",1,0,0,2016-04-07,2016-04-07,500000
06785448,"Leicester Square Box Office Ltd",1,0,0,2014-06-19,2014-06-19,300000
06789840,"TFS BUYING LIMITED",1,0,0,2024-01-29,2024-01-29,1250000
06797461 ?,"Blue Square Marketing Ltd",1,0,0,2022-06-16,2022-06-16,300000
04182147,"Kemble Air Services Limited",1,0,0,2015-02-21,2015-02-21,200000
06808439,"Weller Management Ltd",1,0,0,2019-06-10,2019-06-10,500000
06817825,"Biznet UK",1,0,0,2012-05-01,2012-05-01,1000000
04166416,"Landlegend Ltd",1,0,0,2010-07-29,2010-07-29,200000
04164594,"The Funding Corporation Group Ltd",1,0,0,2010-12-16,2010-12-16,2500000
04154226,"City and West End Services Ltd",1,0,0,2007-07-12,2007-07-12,625002
04153108,"Hallmark Developments (NW) Ltd",1,0,0,2007-05-14,2007-05-14,1000000
04144158,"Integrated ECO Technologies Limited",1,0,0,2024-06-17,2024-06-17,300000
04141432,"Airtours Plc",1,0,0,2001-11-14,2001-11-14,600000
04141076,"3V International Limited",1,0,0,2019-12-03,2019-12-03,200000
06898472,"Oracle Capital Advisors Ltd",1,0,0,2012-06-12,2012-06-12,840000
06909588,"Curtain Road Limited",1,0,0,2010-05-27,2010-05-27,200000
04139792,"RAGM PLC",1,0,0,2009-11-12,2009-11-12,1000000
06937296,"Dyneema Limited",1,0,0,2017-05-09,2017-05-09,200000
06950585,"Brand print (UK) Ltd",1,0,0,2016-05-12,2016-05-12,203500
06993978,"Wenningdale Leisure Ltd",1,0,0,2024-06-19,2024-06-19,300000
04136164,"Berkeley Burke Group Limited",1,0,0,2017-10-10,2017-10-10,850000
07006885,"The Cordoba Foundation",1,0,0,2010-04-08,2010-04-08,200000
07011445,"Seven Capital",1,0,0,2019-09-27,2019-09-27,400000
07022075,"Project Kudos Ltd",1,0,0,2014-06-30,2014-06-30,2740000
07029648,"VGC Limited",1,0,0,2016-04-07,2016-04-07,180000
07036404,"MDVR SERVICES LIMITED",1,0,0,2023-08-25,2023-08-25,200000
04113738,"Premier Wealth Mgt",1,0,0,2015-03-11,2015-03-11,200000
0410660 ?,"The Wine and Spirit Trade Association",1,0,0,2022-05-12,2022-05-12,2000000
04096788,"PUNTER SOUTHALL GROUP LIMITED",1,0,0,2022-07-29,2022-07-29,1000000
07072365,"Askaris Information Technology Ltd",1,0,0,2019-12-23,2019-12-23,1500000
04096741,"Karajan Limited",1,0,0,2015-03-16,2015-03-16,200000
04093508,"MPW Parisienne Restaurants Ltd",1,0,0,2006-10-23,2006-10-23,2610000
07090892,"5 x 15 Limited",1,0,0,2016-02-04,2016-02-04,3160878
00227266,"Robert Brett & Sons Limited",1,0,0,2007-01-18,2007-01-18,117500
07099357,"Blueprint Acquisitions Limited",1,0,0,2019-09-23,2019-09-23,500000
07107721,"Flamingo Land Resort Limited",1,0,0,2016-02-08,2016-02-08,850000
04070116 ?,"Plane Business Limited",1,0,0,2021-01-20,2021-01-20,1250000
07123442,"THIRDWAY INTERIORS LIMITED",1,0,0,2024-03-12,2024-03-12,500000
07129343,"Lightsource Renewable Energy Limited",1,0,0,2015-03-11,2015-03-11,820000
04069472,"GRC Ltd",1,0,0,2017-05-15,2017-05-15,500000
07130178,"Diamond Consultants Ltd",1,0,0,2020-03-16,2020-03-16,1000000
07137964,"The Avant Guardians Ltd",1,0,0,2014-07-19,2014-07-19,896286
07160957,"London Square Developments Ltd",1,0,0,2015-03-17,2015-03-17,200000
04060925,"Hope Learning Solutions Ltd",1,0,0,2003-10-01,2003-10-01,257300
0716867,"THE EX MILL ENVELOPE AND PAPER COMPANY LIMITED",1,0,0,2014-06-16,2014-06-16,5000000
07180972,"South Street Asset Management Limited",1,0,0,2020-02-10,2020-02-10,900000
07190675,"Norton Energy Solutions Ltd",1,0,0,2010-11-02,2010-11-02,200000
04059899,"Independent Newspapers (Uk) Ltd (Sponsorship)",1,0,0,2007-09-10,2007-09-10,2350000
07200539,"GCH Corporation Limited",1,0,0,2018-02-28,2018-02-28,1000000
04056113,"Mentmore Homes Limited",1,0,0,2025-03-26,2025-03-26,621700
07217360,"MFL Finance Limited",1,0,0,2015-05-28,2015-05-28,500000
07227141,"STUBBEN EDGE GROUP LIMITED",1,0,0,2023-08-04,2023-08-04,310000
07234789,"Polecrest Limited",1,0,0,2019-09-10,2019-09-10,1000000
07254337,"Formula Won Ltd",1,0,0,2014-02-27,2014-02-27,500000
07259361,"Xercise2 Ltd",1,0,0,2023-02-16,2023-02-16,500000
SC149529,"Camvista.Com Ltd",1,0,0,2001-05-16,2001-05-16,2000000
07263515,"Pak Foods Ltd",1,0,0,2019-01-04,2019-01-04,199600
07267038,"Why Media Ltd",1,0,0,2015-02-12,2015-02-12,400000
07279146,"@Unbound",1,0,0,2019-06-10,2019-06-10,750000
04050972,"Netpremacy Ltd",1,0,0,2012-10-17,2012-10-17,250000
04049788,"AXA Trading Limited",1,0,0,2015-03-30,2015-03-30,500000
07302504,"Camberton Associates Limited",1,0,0,2015-01-30,2015-01-30,300000
07310888,"Clocktower Express Limited",1,0,0,2014-11-19,2014-11-19,285000
07318607,"Tate and Lyle Ltd",1,0,0,2017-09-13,2017-09-13,828750
07333702,"CONACO CONSTRUCTION SERVICES LIMITED",1,0,0,2024-05-23,2024-05-23,1000000
07337308,"MERRYGILL LIMITED",1,0,0,2025-06-17,2025-06-17,500000
07345732,"London Maternity and Birth Services Limited",1,0,0,2015-01-02,2015-01-02,200000
07351563,"Vida Healthcare Ltd",1,0,0,2015-04-30,2015-04-30,200000
04049083,"GA Pindar & Son Ltd",1,0,0,2007-02-14,2007-02-14,2500000
04046388,"Bluemantle Ltd",1,0,0,2009-12-14,2009-12-14,750000
07364968,"CA Kent Limited",1,0,0,2024-05-29,2024-05-29,2000000
07365301,"OSL Rail Ltd",1,0,0,2014-09-16,2014-09-16,290000
04046314,"Auckland Shipping Ltd",1,0,0,2010-02-23,2010-02-23,200000
04032008,"Sudfeld Ltd",1,0,0,2004-11-18,2004-11-18,150000
04018281,"Flanagan Group Limited",1,0,0,2006-04-01,2006-04-01,200000
07413728,"Beacon Medical Services Group Limited",1,0,0,2022-12-07,2022-12-07,1000000
07416995,"CHM CONSULT LIMITED",1,0,0,2023-05-31,2023-05-31,250000
07425424,"Udi Limited",1,0,0,,,5000000
07426849,"ADI GROUP SERVICES LIMITED",1,0,0,2026-01-05,2026-01-05,500000
07428858,"Churchill Retirement PLC",1,0,0,2018-02-20,2018-02-20,5000000
04004930,"Infohealth Ltd",1,0,0,2024-04-22,2024-04-22,500000
04000403,"Alcaline Limited",1,0,0,2024-07-02,2024-07-02,1000000
07455523,"BTP ADVISERS LIMITED",1,0,0,2016-03-31,2016-03-31,200000
07465506 ?,"WESTMINSTER WASTE LIMITED",1,0,0,2023-08-31,2023-08-31,1000000
07488363,"City Fibre Holding Limited",1,0,0,2023-03-24,2023-03-24,1200000
03998484,"Zoe Wigan Ltd",1,0,0,2010-03-09,2010-03-09,200000
07493863,"Tribeca Holdings London Limited",1,0,0,2014-02-12,2014-02-12,1000000
0754042,"Ruobal Properties Ltd",1,0,0,2007-01-01,2007-01-01,317300
03998411,"Morelane Ltd",1,0,0,2005-02-20,2005-02-20,300000
03983748,"The Remuneration Partnership Ltd",1,0,0,2003-11-13,2003-11-13,150000
03976925,"SCB Holdings Sandy Ltd",1,0,0,2005-06-30,2005-06-30,600000
03970089,"Novartis Vaccines and Diagnostics Ltd (Sponsorship)",1,0,0,2007-09-12,2007-09-12,300000
03967673,"Kelson Place Asset Management Ltd",1,0,0,2005-05-03,2005-05-03,1000000
07593021,"JFB Management Limited",1,0,0,2015-04-24,2015-04-24,200000
07606576,"Northminster Holdings Ltd",1,0,0,2015-03-20,2015-03-20,200000
07612319,"BLUE HORIZON ASSET MANAGEMENT LIMITED",1,0,0,2024-05-27,2024-05-27,1000000
07632112,"Lawrence Rand (Eastcote) Limited",1,0,0,2015-11-25,2015-11-25,800000
07638170,"Iraco Real Estate Limited",1,0,0,2015-05-22,2015-05-22,500000
07690970,"Silver Cloud Ventures Limited",1,0,0,2018-01-19,2018-01-19,250000
03958393,"Hillside (New Media) Ltd",1,0,0,2010-07-02,2010-07-02,7500000
SC157635,"Unity Fishing Company Limited",1,0,0,2021-04-06,2021-04-06,2000000
07700709,"Exemplar Properties Ltd",1,0,0,2015-02-04,2015-02-04,1000000
07715178,"Travel2Palestine Ltd",1,0,0,2014-09-15,2014-09-15,158800
07716085,"Haron Seven Ltd",1,0,0,2014-10-15,2014-10-15,1000000
07720342,"Attestor Services Limited",1,0,0,,,7500000
03958060,"The Digital Office (UK) Ltd",1,0,0,2014-12-05,2014-12-05,250000
07730551,"S & J Investments (delivery office Southall) Ltd",1,0,0,2014-07-14,2014-07-14,500000
07736417,"Tideline Shared Services Ltd",1,0,0,2022-03-30,2022-03-30,1000000
07746921,"DOMINUS UK HOLDINGS LIMITED",1,0,0,2025-12-02,2025-12-02,1499900
03950962,"SilverDoor Ltd",1,0,0,2009-07-21,2009-07-21,304000
07758605,"Soneva Ltd",1,0,0,2012-07-03,2012-07-03,800000
07764943,"Pilz Limited",1,0,0,2024-02-12,2024-02-12,540000
07766813,"AMS Accountants Corporate Ltd",1,0,0,2013-12-31,2013-12-31,500000
07768657,"Intela Consulting Ltd",1,0,0,2015-07-03,2015-07-03,2500000
03943678,"Working Links (Employment) Limited",1,0,0,2016-11-10,2016-11-10,650000
03942880,"Octopus Investments Limited",1,0,0,2018-01-26,2018-01-26,1250000
07775443,"Naya Capital Management UK Limited",1,0,0,,,5000000
07803669,"Vencomatic Poultry UK Ltd",1,0,0,2015-03-14,2015-03-14,600000
07811226,"Dynamic Office Supplies Limited",1,0,0,2024-05-30,2024-05-30,500000
07814711,"Stern Advisory Company Ltd",1,0,0,2014-12-05,2014-12-05,200000
07826382,"GSP Real Estate Limited",1,0,0,2014-11-13,2014-11-13,1250000
07826832,"Shipton Limited",1,0,0,2015-12-04,2015-12-04,350000
07839199 ?,"WHITTLEBURY HALL & SPA LIMITED",1,0,0,2022-06-01,2022-06-01,200000
07847345,"Brightbeech Property Ltd",1,0,0,2024-01-17,2024-01-17,500000
07847728,"Colour Themes Ltd",1,0,0,2020-02-18,2020-02-18,1200000
07847869,"Good Growth Limited",1,0,0,2015-03-30,2015-03-30,250000
03937803,"Bolts of Hereford Ltd",1,0,0,2010-04-20,2010-04-20,270000
03936122,"P J Care Ltd",1,0,0,2009-11-04,2009-11-04,300000
07909029,"Osborne & Partners (UK) Limited",1,0,0,2015-05-07,2015-05-07,1009614
07918146,"Malhotra Group PLC",1,0,0,2024-04-16,2024-04-16,1000000
07928565,"NDEMIC CREATIONS LTD",1,0,0,,,1000000
07944083,"Goldline Chauffeurs Limited",1,0,0,2024-04-10,2024-04-10,230000
07950398,"Griggs Homes Limited",1,0,0,2025-11-30,2025-11-30,5000000
07963594,"Warrantywise Limited",1,0,0,2020-02-11,2020-02-11,5000000
03934509,"Thorney Bay Park Ltd",1,0,0,2001-06-06,2001-06-06,300000
07975120,"Farmcote Sporting Club Limited",1,0,0,2020-03-20,2020-03-20,1350000
07995496,"Apple Consultants Ltd",1,0,0,2014-04-04,2014-04-04,1000000
08009719,"Impressions of China Ltd",1,0,0,2014-07-04,2014-07-04,644000
08021897,"Clivedale Ventures Limited",1,0,0,2016-01-19,2016-01-19,10000000
08045051,"Searcys - 30 Euston Square Limited",1,0,0,2016-03-15,2016-03-15,1188600
08065687,"Dean Street Advisers Ltd",1,0,0,2019-09-11,2019-09-11,250000
SC162036,"Oakminster Health Limited",1,0,0,2025-04-24,2025-04-24,300000
