ws_id,target_act_id,target_provision_ref,scope_band,detection,source_type,source_gid,source_doc_uri,source_provision_ref,resolved,target_uri,citation_text,raw_fragment
WS-01,ukpga/1998/42,section-6,whole-act,text,SI,ssi/2021/349,http://www.legislation.gov.uk/id/ssi/2021/349,regulation-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"for the premises (whether as an employee, volunteer, or otherwise), g is on the premises in the course of the person’s functions as an emergency responder, h is on the premises acting on behalf of a public authority (as construed in accordance with section 6 of the Human Rights Act 1998","3>
<P3>
<Pnumber>g</Pnumber>
<P3para><Text>is on the premises in the course of the person’s functions as an emergency responder,</Text>
</P3para>
</P3>
<P3>
<Pnumber>h</Pnumber>
<P3para><Text>is on the premises acting on behalf of a public authority (as construed in accordance with section 6 of the Human Rights Act 1998<FootnoteRef Ref=""f00004""/>).</Text>
</P3para>
</P3>
</P2para>
</P2>
<P2>
<Pnumber>4</Pnumber>
<P2para><Text>In considering what is a reasonable system for the purposes of paragraph (1), a person must have regard to any guidance issued by the Scottish Ministers.</Text>
</P2para>"
WS-01,ukpga/1998/42,section-6,whole-act,text,SI,ssi/2021/355,http://www.legislation.gov.uk/id/ssi/2021/355,article-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,into force section 98 of the Criminal Justice and Licensing (Scotland) Act 2010 (“the 2010 Act”) on 8 November 2021. Section 98 of the 2010 Act amends the Serious Crime Act 2007 (“the 2007 Act”). The 2007 Act allows public authorities (within the meaning of section 6 of the Human Rights Act 1998,"ion 98 of the Criminal Justice and Licensing (Scotland) Act 2010 (“the 2010 Act”) on 8 November 2021.</Text></P>
<P><Text>Section 98 of the 2010 Act amends the Serious Crime Act 2007 (“the 2007 Act”).</Text></P>
<P><Text>The 2007 Act allows public authorities (within the meaning of section 6 of the Human Rights Act 1998) throughout the United Kingdom to disclose information as a member of a specified anti-fraud organisation (see section 68(8) of the 2007 Act) for the purposes of preventing fraud.</Text></P>
<P><Text>Sections 68 to 72 of the 2007 Act provide the framework for the information sh"
WS-01,ukpga/1998/42,section-1,whole-act,text,SI,ssi/2022/365,http://www.legislation.gov.uk/id/ssi/2022/365,schedule-4-paragraph-1,true,http://www.legislation.gov.uk/id/ukpga/1998/42,rights” has the meaning given to it in section 1 of the Human Rights Act 1998,"b70ebc04c1ffbc886676b-1779808103447"" CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">Convention rights</Addition></Term><Addition ChangeId=""key-REDACTED-CLML-COMMENTARY-HANDLE-1779808103447"" CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">” has the meaning given to it in section 1 of the Human Rights Act 1998,</Addition></Text></Para></ListItem><ListItem><Para><Text><Addition ChangeId=""key-REDACTED-CLML-COMMENTARY-HANDLE-1779808103447"" CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">“</Addition><Term><Addition ChangeId=""key-REDACTED-CLML-COMMENTARY-HANDLE-1779808103447"" Comme"
WS-01,ukpga/1998/42,,whole-act,text,SI,ssi/2024/174,http://www.legislation.gov.uk/id/ssi/2024/174,rule-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,and interpretation) substitute— Application and interpretation 41.1 1 This Chapter deals with various matters relating to— a the Human Rights Act 1998,"argetClass=""secondary"" TargetSubClass=""rule"">
<P1group>
<Title>Application and interpretation</Title>
<P1>
<Pnumber PuncAfter=""."">41.1</Pnumber>
<P1para>
<P2>
<Pnumber>1</Pnumber>
<P2para>
<Text>This Chapter deals with various matters relating to—</Text>
<P3>
<Pnumber>a</Pnumber>
<P3para>
<Text>the Human Rights Act 1998;</Text>
</P3para>
</P3>
<P3>
<Pnumber>b</Pnumber>
<P3para>
<Text>the United Nations Convention on the Rights of the Child (Incorporation) (Scotland) Act 2024.</Text>
</P3para>
</P3>
</P2para>
</P2>
<P2>
<Pnumber>2</Pnumber>
<P2para>
<Text>In this Chapter—</Text>
<UnorderedList "
WS-01,ukpga/1998/42,,whole-act,text,SI,ssi/2024/174,http://www.legislation.gov.uk/id/ssi/2024/174,rule-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,Rights Act 1998; b the United Nations Convention on the Rights of the Child (Incorporation) (Scotland) Act 2024. 2 In this Chapter— “the 1998 Act” means the Human Rights Act 1998,"tions Convention on the Rights of the Child (Incorporation) (Scotland) Act 2024.</Text>
</P3para>
</P3>
</P2para>
</P2>
<P2>
<Pnumber>2</Pnumber>
<P2para>
<Text>In this Chapter—</Text>
<UnorderedList Class=""Definition"" Decoration=""none"">
<ListItem>
<Para>
<Text>“<Term>the 1998 Act</Term>” means the Human Rights Act 1998<FootnoteRef Ref=""f00010""/>;</Text>
</Para>
</ListItem>
<ListItem>
<Para>
<Text>“<Term>the 2024 Act</Term>” means the United Nations Convention on the Rights of the Child (Incorporation) (Scotland) Act 2024<FootnoteRef Ref=""f00011""/>;</Text>
</Para>
</ListItem>
<ListItem>
<Para>"
WS-01,ukpga/1998/42,,whole-act,text,SI,ssi/2024/174,http://www.legislation.gov.uk/id/ssi/2024/174,rule-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,for the heading substitute “Form of notice in respect of declarations and declarators”; ii after “ Human Rights Act 1998,"ect of declarations and declarators</Strong>”</InlineAmendment>;</Text>
</P4para>
</P4>
<P4 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/174/rule/2/5/c/ii/made"" IdURI=""http://www.legislation.gov.uk/id/ssi/2024/174/rule/2/5/c/ii"" id=""rule-2-5-c-ii"">
<Pnumber>ii</Pnumber>
<P4para>
<Text>after “Human Rights Act 1998” insert <InlineAmendment>“[<Emphasis>or</Emphasis> an incompatibility declarator under section 26(2) of the United Nations Convention on the Rights of the Child (Incorporation) (Scotland) Act 2024] [<Emphasis>or </Emphasis>a strike down declarator under section 25(2) of the Uni"
WS-01,ukpga/1998/42,,whole-act,text,SI,ssi/2024/174,http://www.legislation.gov.uk/id/ssi/2024/174,rule-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,“or declarator”; iv after “Convention right” insert “under the Human Rights Act 1998,"P4>
<P4 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/174/rule/2/5/c/iv/made"" IdURI=""http://www.legislation.gov.uk/id/ssi/2024/174/rule/2/5/c/iv"" id=""rule-2-5-c-iv"">
<Pnumber>iv</Pnumber>
<P4para>
<Text>after “<Emphasis>Convention right</Emphasis>” insert <InlineAmendment>“<Emphasis>under the Human Rights Act 1998 or the UNCRC requirement under the United Nations Convention on the Rights of the Child (Incorporation) (Scotland) Act 2024</Emphasis>”</InlineAmendment>;</Text>
</P4para>
</P4>
</P3para>
</P3>
<P3 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/174/rule/2/5/d/made"" IdURI="""
WS-01,ukpga/1998/42,section-5-2,whole-act,text,SI,ssi/2024/174,http://www.legislation.gov.uk/id/ssi/2024/174,rule-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,“join” insert “[or take part]”; iii after “proceedings” insert “under section 5(2) of the Human Rights Act 1998,"xt>
</P4para>
</P4>
<P4 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/174/rule/2/5/d/iii/made"" IdURI=""http://www.legislation.gov.uk/id/ssi/2024/174/rule/2/5/d/iii"" id=""rule-2-5-d-iii"">
<Pnumber>iii</Pnumber>
<P4para>
<Text>after “proceedings” insert <InlineAmendment>“under section 5(2) of the Human Rights Act 1998 [<Emphasis>or</Emphasis> section 27(2) of the United Nations Convention on the Rights of the Child (Incorporation) (Scotland) Act 2024]”</InlineAmendment>;</Text>
</P4para>
</P4>
<P4 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/174/rule/2/5/d/iv/made"" IdURI=""http://www.l"
WS-01,ukpga/1998/42,section-5-2,whole-act,text,SI,ssi/2024/195,http://www.legislation.gov.uk/id/ssi/2024/195,rule-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,on the Rights of the Child (Incorporation) (Scotland) Act 2024”; j in Form 82.3-B (form of notice to court under section 5(2) of the Human Rights Act 1998,"/Text>
</P4para>
</P4>
</P3para>
</P3>
<P3 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/195/rule/2/4/j/made"" IdURI=""http://www.legislation.gov.uk/id/ssi/2024/195/rule/2/4/j"" id=""rule-2-4-j"">
<Pnumber>j</Pnumber>
<P3para>
<Text>in Form 82.3-B (form of notice to court under section 5(2) of the Human Rights Act 1998 Act)<FootnoteRef Ref=""f00013""/>—</Text>
<P4 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/195/rule/2/4/j/i/made"" IdURI=""http://www.legislation.gov.uk/id/ssi/2024/195/rule/2/4/j/i"" id=""rule-2-4-j-i"">
<Pnumber>i</Pnumber>
<P4para>
<Text>for the title substitute <InlineAmend"
WS-01,ukpga/1998/42,,whole-act,text,SI,ssi/2024/195,http://www.legislation.gov.uk/id/ssi/2024/195,rule-2,true,http://www.legislation.gov.uk/id/ukpga/1998/42,notice of their intention to take part in the proceedings. . 3 In Chapter 82 (the Human Rights Act 1998,"
</P1para>
</P1>
</P1group>
</Part>
</BlockAmendment>
<AppendText>.</AppendText>
</P2para>
</P2>
<P2 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/195/rule/2/3/made"" IdURI=""http://www.legislation.gov.uk/id/ssi/2024/195/rule/2/3"" id=""rule-2-3"">
<Pnumber>3</Pnumber>
<P2para>
<Text>In Chapter 82 (the Human Rights Act 1998)<FootnoteRef Ref=""f00006""/>—</Text>
<P3 DocumentURI=""http://www.legislation.gov.uk/ssi/2024/195/rule/2/3/a/made"" IdURI=""http://www.legislation.gov.uk/id/ssi/2024/195/rule/2/3/a"" id=""rule-2-3-a"">
<Pnumber>a</Pnumber>
<P3para>
<Text>for the Chapter heading substitute <Inline"
