ws_id,target_act_id,target_provision_ref,scope_band,detection,source_type,source_gid,source_doc_uri,source_provision_ref,resolved,target_uri,citation_text,raw_fragment
WS-05,ukpga/2010/25,schedule-6-paragraph-12,other-provision,text,SI,nisr/2023/209,http://www.legislation.gov.uk/id/nisr/2023/209,regulation-37,true,http://www.legislation.gov.uk/id/ukpga/2010/25,to the Money and Pensions Service); “parliamentary pension schemes” refers to the following pension schemes— a scheme for Members of the House of Commons established under paragraph 12 of Schedule 6 to the Constitutional Reform and Governance Act 2010,"<Term id=""term-parliamentary-pension-schemes"">parliamentary pension schemes</Term>” refers to the following pension schemes—</Text>
<OrderedList Type=""alpha"" Decoration=""parens"">
<ListItem>
<Para>
<Text>a scheme for Members of the House of Commons established under paragraph 12 of Schedule 6 to the Constitutional Reform and Governance Act 2010<FootnoteRef Ref=""f00031""/>;</Text>
</Para>
</ListItem>
<ListItem>
<Para>
<Text>a scheme for members of the Assembly established under section 48 of the Northern Ireland Act 1998<FootnoteRef Ref=""f00032""/>;</Text>
</Para>
</ListItem>
</OrderedList>
</Para"
WS-05,ukpga/2010/25,,act-level,text,SI,ssi/2013/365,http://www.legislation.gov.uk/id/ssi/2013/365,article-2,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"person or 20 years after the date when the record was created (whichever is later). The amendments regarding communications with Her Majesty, the Royal Family or the Royal Household mirror amendments made to the Freedom of Information Act 2000 by the Constitutional Reform and Governance Act 2010","years after the death of the person or 20 years after the date when the record was created (whichever is later).</Text></P>
<P><Text>The amendments regarding communications with Her Majesty, the Royal Family or the Royal Household mirror amendments made to the Freedom of Information Act 2000 by the Constitutional Reform and Governance Act 2010.</Text></P>
</ExplanatoryNotes>
</Secondary><Footnotes><Footnote id=""f00001"">
<FootnoteText>
<Para><Text><Citation URI=""http://www.legislation.gov.uk/id/asp/2002/13"" id=""c00001"" Class=""ScottishAct"" Year=""2002"" Number=""0013"">2002 asp 13</Citation>; sectio"
WS-05,ukpga/2010/25,section-1-4,part-1,text,SI,ssi/2021/174,http://www.legislation.gov.uk/id/ssi/2021/174,regulation-6,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"has a relationship equivalent to those listed in paragraph (a) under the law of Scotland,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .“civil servant” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010","Para></ListItem></OrderedList></Para></ListItem><ListItem><Para><Text><CommentaryRef Ref=""key-REDACTED-CLML-COMMENTARY-HANDLE""/>. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .</Text></Para></ListItem><ListItem><Para><Text>“civil servant” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010<FootnoteRef Ref=""f00036""/>,</Text></Para></ListItem><ListItem><Para><Text>“common travel area” has the meaning given in section 1(3) of the Immigration Act 1971,</Text></Para></ListItem><ListItem><Para><Text>“mariner” means a person who is, or has been, "
WS-05,ukpga/2010/25,section-1-4,part-1,text,SI,ssi/2022/54,http://www.legislation.gov.uk/id/ssi/2022/54,regulation-17,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"a person listed in paragraph (3)(a) has a relationship equivalent to those listed under the law of Scotland,...“civil servant” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010","w of Scotland,</Text></Para></ListItem></OrderedList></Para></ListItem><ListItem><Para><Text><CommentaryRef Ref=""key-REDACTED-CLML-COMMENTARY-HANDLE""/>...</Text></Para></ListItem><ListItem><Para><Text>“<Term id=""term-civil-servant"">civil servant</Term>” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010<FootnoteRef Ref=""f00031""/>,</Text></Para></ListItem><ListItem><Para><Text><CommentaryRef Ref=""key-REDACTED-CLML-COMMENTARY-HANDLE""/>...</Text></Para></ListItem><ListItem><Para><Text>“<Term id=""term-serving-member-of-her-majestys-forces"">serving member o"
WS-05,ukpga/2010/25,section-1-4,part-1,text,SI,ssi/2023/302,http://www.legislation.gov.uk/id/ssi/2023/302,regulation-8,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"the law of England and Wales and Northern Ireland, a child in respect of whom a person listed in paragraph (3)(a) has a relationship equivalent to those listed under the law of Scotland,“civil servant” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010","espect of whom a person listed in paragraph (3)(a) has a relationship equivalent to those listed under the law of Scotland,</Text></Para></ListItem></OrderedList></Para></ListItem><ListItem><Para><Text>“<Term id=""term-civil-servant"">civil servant</Term>” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010<FootnoteRef Ref=""f00049""/>, and</Text></Para></ListItem><ListItem><Para><Text>“<Term id=""term-serving-member-of-his-majestys-forces"">serving member of His Majesty’s forces</Term>” means a member of a regular force or a reserve force (“<Term id=""term-m"">M"
WS-05,ukpga/2010/25,section-20,other-provision,enabling,SI,ssi/2024/101,http://www.legislation.gov.uk/id/ssi/2024/101,,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"accordance with paragraph 2(b) of that schedule, the requirements of section 20 of the Constitutional Reform and Governance Act 2010","<EnactingText>
<Para>
<Text>In accordance with paragraph 2(b) of that schedule, the requirements of section 20 of the Constitutional Reform and Governance Act 2010<FootnoteRef Ref=""f00002""/> have been met in respect of the Agreement between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Denmark on the Participation in Certain Elections of Nationals of each Country resident in the Territory of the Other, signed in Copenhagen, Denma"
WS-05,ukpga/2010/25,,act-level,enabling,SI,ssi/2024/101,http://www.legislation.gov.uk/id/ssi/2024/101,,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"accordance with paragraph 2(b) of that schedule, the requirements of section 20 of the Constitutional Reform and Governance Act 2010","<EnactingText>
<Para>
<Text>In accordance with paragraph 2(b) of that schedule, the requirements of section 20 of the Constitutional Reform and Governance Act 2010<FootnoteRef Ref=""f00002""/> have been met in respect of the Agreement between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Denmark on the Participation in Certain Elections of Nationals of each Country resident in the Territory of the Other, signed in Copenhagen, Denma"
WS-05,ukpga/2010/25,section-1-4,part-1,text,SI,ssi/2024/166,http://www.legislation.gov.uk/id/ssi/2024/166,regulation-11,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"the law of England and Wales and Northern Ireland, a child in respect of whom a person listed in paragraph (3)(a) has a relationship equivalent to those listed under the law of Scotland,“civil servant” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010","espect of whom a person listed in paragraph (3)(a) has a relationship equivalent to those listed under the law of Scotland,</Text></Para></ListItem></OrderedList></Para></ListItem><ListItem><Para><Text>“<Term id=""term-civil-servant"">civil servant</Term>” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010<FootnoteRef Ref=""f00034""/>, and</Text></Para></ListItem><ListItem><Para><Text>“<Term id=""term-serving-member-of-his-majestys-forces"">serving member of His Majesty’s forces</Term>” means a member of a regular force or a reserve force (“<Term id=""term-m"">M"
WS-05,ukpga/2010/25,section-1-4,part-1,text,SI,ssi/2025/3,http://www.legislation.gov.uk/id/ssi/2025/3,regulation-12,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"the law of England and Wales and Northern Ireland, a child in respect of whom a person listed in paragraph (3)(a) has a relationship equivalent to those listed under the law of Scotland,“civil servant” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010","espect of whom a person listed in paragraph (3)(a) has a relationship equivalent to those listed under the law of Scotland,</Text></Para></ListItem></OrderedList></Para></ListItem><ListItem><Para><Text>“<Term id=""term-civil-servant"">civil servant</Term>” has the meaning given by section 1(4) of the Constitutional Reform and Governance Act 2010<FootnoteRef Ref=""f00038""/>,</Text></Para></ListItem><ListItem><Para><Text>“<Term id=""term-serving-member-of-his-majestys-forces"">serving member of His Majesty’s forces</Term>” means a member of a regular force or a reserve force (“<Term id=""term-m"">M</Te"
WS-05,ukpga/2010/25,,act-level,text,SI,uksi/2010/1277,http://www.legislation.gov.uk/id/uksi/2010/1277,article-1,true,http://www.legislation.gov.uk/id/ukpga/2010/25,"IdURI=""http://www.legislation.gov.uk/id/uksi/2010/1277/body"" NumberOfProvisions=""3""> Citation 1 This Order may be cited as the Constitutional Reform and Governance Act 2010","010/1277/body"" NumberOfProvisions=""3"">
<P1group>
<Title>Citation</Title>
<P1 DocumentURI=""http://www.legislation.gov.uk/uksi/2010/1277/article/1/made"" IdURI=""http://www.legislation.gov.uk/id/uksi/2010/1277/article/1"" id=""article-1"">
<Pnumber>1</Pnumber>
<P1para>
<Text>This Order may be cited as the Constitutional Reform and Governance Act 2010 (Commencement No. 1) Order 2010.</Text>
</P1para>
</P1>
</P1group>
<P1group>
<Title>Commencement</Title>
<P1 DocumentURI=""http://www.legislation.gov.uk/uksi/2010/1277/article/2/made"" IdURI=""http://www.legislation.gov.uk/id/uksi/2010/1277/article/2"" id=""a"
